Gene	Module
AASDHPPT	green
ACSL3	red
ACTB	brown
ACTG1	turquoise
ADD1	brown
ADD3	green
AFF4	blue
AHI1	blue
AKAP6	grey
AKAP9	brown
ALDOA	turquoise
ANAPC5	brown
ANK2	turquoise
ANK3	blue
ANKRD10	turquoise
ANKRD12	green
ANKRD17	turquoise
ANKRD40	blue
ANKS1B	turquoise
ANP32E	pink
APC	blue
APLP2	turquoise
APP	blue
ARF1	brown
ARF4	yellow
ARGLU1	red
ARHGAP21	yellow
ARHGAP5	red
ARHGEF7	yellow
ARID1B	brown
ARID4A	turquoise
ARID4B	blue
ARID5B	blue
ARL6IP1	black
ARL6IP5	turquoise
ARL8B	yellow
ARPC2	yellow
ARPP19	green
ARRDC3	blue
ASH1L	grey
ATP1A1	turquoise
ATP1B1	turquoise
ATP5A1	red
ATP5B	turquoise
ATP5C1	turquoise
ATP5F1	turquoise
ATP5G2	turquoise
ATP5L	turquoise
ATP5O	turquoise
ATP6AP2	turquoise
ATP6V0B	turquoise
ATP6V1A	turquoise
ATP6V1D	turquoise
ATP6V1E1	black
ATPIF1	turquoise
ATRX	turquoise
ATXN7L3B	yellow
B2M	brown
BCLAF1	blue
BDP1	grey
BEX4	turquoise
BIRC6	pink
BNIP3L	blue
BOD1L	red
BPTF	red
BRWD1	brown
C11orf58	brown
C14orf2	turquoise
C14orf43	turquoise
C6orf62	brown
C7orf41	brown
C9orf5	turquoise
CACYBP	black
CADM1	turquoise
CADM2	blue
CALM1	turquoise
CALM2	turquoise
CALU	blue
CAMK2N1	yellow
CAMTA1	turquoise
CANX	turquoise
CAPZA1	yellow
CAPZA2	green
CBX5	green
CCDC82	blue
CCDC88A	blue
CCT7	turquoise
CD47	blue
CD63	turquoise
CDC42	blue
CDC42BPA	pink
CDC42SE2	turquoise
CDC5L	turquoise
CDR1	black
CDS2	turquoise
CEP290	turquoise
CEP350	pink
CHD1	green
CHD2	brown
CHD9	brown
CHMP5	turquoise
CHP	green
CIRBP	brown
CKAP5	brown
CKB	turquoise
CLASP2	blue
CLCN3	green
CLK1	blue
CLTC	blue
CLU	turquoise
CNBP	turquoise
CNOT2	grey
CNP	blue
COPA	grey
COPB1	blue
COX6A1	black
COX6C	black
COX7A2	turquoise
COX7C	turquoise
CPEB4	blue
CRBN	brown
CSDE1	blue
CSNK1A1	turquoise
CTNNB1	brown
CTTN	brown
CXADR	blue
CYCS	red
